origin,colony,dest,origin_dest,time,trt,grate,wkgrate,ylossnorm,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVB,HV,HV_HV,6,1,0.018,0.115,0.431,NA,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVB,HV,HV_HV,6,0,0.021,0.134,0.015,13.758,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVB,MV,HV_MV,6,NA,0.021,-0.001,NA,NA,0,NA,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVB,MV,HV_MV,6,1,0.027,0.076,0.417,NA,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVB,MV,HV_MV,6,0,0.03,0.132,0.012,9.676,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVC,HV,HV_HV,6,1,0.016,0.114,0.586,6.756,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,HV,HV_HV,6,1,0.005,0.181,,,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,HV,HV_HV,6,0,-0.001,0.183,0.129,10.134,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,MV,HV_MV,6,1,0.02,0.095,0.455,5.129,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVC,MV,HV_MV,6,0,0.019,0.144,0.044,8.422,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,HV,HV_HV,6,NA,0.012,-0.004,NA,NA,0,NA,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,HV,HV_HV,6,1,0.035,0.129,0.579,12.432,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,HV,HV_HV,6,0,0.03,0.119,0.043,19.345,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,MV,HV_MV,6,NA,0.021,0.073,NA,NA,0,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,MV,HV_MV,6,1,0.027,0.113,0.582,8.931,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,MV,HV_MV,6,0,0.018,0.105,0.112,11.549,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVE,HV,HV_HV,6,NA,0.017,0.028,NA,NA,0,NA,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,HV,HV_HV,6,1,0.025,0.134,0.397,5.983,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,HV,HV_HV,6,0,0.019,0.116,-0.083,7.671,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,MV,HV_MV,6,1,0.008,0.148,0.322,5.642,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVE,MV,HV_MV,6,0,0.007,0.168,0.018,8.336,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVK,HV,HV_HV,6,1,0,0.172,0.295,7.063,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVK,HV,HV_HV,6,0,0.005,0.201,-0.014,9.118,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVK,MV,HV_MV,6,1,0.008,0.243,0.253,8.619,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVK,MV,HV_MV,6,0,0.002,0.213,0.035,9.556,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVL,HV,HV_HV,6,1,NA,0.062,0.273,5.974,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVL,HV,HV_HV,6,0,-0.002,0.084,0.058,7.328,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVL,MV,HV_MV,6,1,0.002,0.152,0.462,6.452,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVL,MV,HV_MV,6,0,0.011,0.038,0.053,9.297,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVM,HV,HV_HV,6,0,0.009,0.145,0.065,7.933,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVM,MV,HV_MV,6,1,0.006,0.096,0.207,4.677,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVM,MV,HV_MV,6,0,0.012,0.083,-0.001,9.466,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVN,HV,HV_HV,6,1,0.015,0.136,0.178,6.832,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVN,HV,HV_HV,6,0,0.018,0.116,0.068,10.23,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVN,MV,HV_MV,6,1,0.011,0.061,0.193,6.541,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVN,MV,HV_MV,6,0,0.015,0.141,0.061,9.247,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVO,HV,HV_HV,6,1,0.026,0.147,0.324,4.374,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
