origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
LV,LVL,HV,LV_HV,1,heat,3,0.014,-0.058,0.107,0.416,2.174761204,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVL,HV,LV_HV,1,cont,4,0.004,,0.136,0.472,9.628230706,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVL,LV,LV_LV,1,heat,3,0.006,,0.24,0.363,5.333042666,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVL,LV,LV_LV,1,cont,4,0.005,0.039,0.044,0.517,11.90054869,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVM,HV,LV_HV,1,heat,5,0.005,,0.241,0.426,12.76004177,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVM,HV,LV_HV,1,cont,6,0.009,0.153,0.078,0.526,16.26095113,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVM,LV,LV_LV,1,heat,5,-0.005,0.143,0.34,0.371,11.27636695,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVM,LV,LV_LV,1,cont,6,0.003,,0.067,0.545,13.13697027,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVN,HV,LV_HV,1,heat,5,-0.009,0.128,0.449,0.317,3.164127132,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVN,HV,LV_HV,1,cont,6,0.009,,0.077,0.534,15.16761803,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVN,LV,LV_LV,1,heat,5,0.009,,0.668,0.19,4.295703866,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVN,LV,LV_LV,1,cont,6,0.011,0.136,0.029,0.55,18.3085275,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVO,HV,LV_HV,1,heat,5,0.007,0.144,0.187,0.446,9.656353589,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVO,HV,LV_HV,1,cont,6,NA,,0.07,0.518,10.76230957,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVO,LV,LV_LV,1,heat,5,0.008,,0.188,0.438,4.39316589,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVO,LV,LV_LV,1,cont,6,-0.003,0.026,0.029,0.517,5.931312382,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
MV,MVA,HV,MV_HV,1,heat,1,0.008,,0.111,0.454,17.77528947,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVA,HV,MV_HV,1,cont,2,0.006,0.054,-0.052,0.542,16.7093493,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVA,MV,MV_MV,1,heat,1,0.011,0.049,0.096,0.471,14.00990269,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVA,MV,MV_MV,1,cont,2,0.017,,-0.036,0.54,17.41104331,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVB,HV,MV_HV,1,heat,1,0.011,0.098,0.144,0.41,14.24323951,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVB,HV,MV_HV,1,cont,2,0.011,,-0.018,0.477,12.81545467,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVB,MV,MV_MV,1,heat,1,0.007,-0.076,0.116,0.454,11.2614789,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVB,MV,MV_MV,1,cont,2,0.007,,0.033,0.514,21.13826691,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVC,HV,MV_HV,1,heat,1,0.01,0.082,0.334,0.344,6.052121442,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVC,HV,MV_HV,1,cont,2,0.012,,0.063,0.544,10.40586232,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVC,MV,MV_MV,1,heat,1,0.008,0.008,0.246,0.416,6.748525282,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVC,MV,MV_MV,1,cont,2,0.009,,0.06,0.566,15.68061866,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVD,HV,MV_HV,1,heat,1,0,,0.266,0.506,4.408053938,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVD,HV,MV_HV,1,cont,2,0.003,0.056,0.006,0.572,8.156917556,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVD,MV,MV_MV,1,heat,1,0.012,,0.273,0.504,6.546471347,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVD,MV,MV_MV,1,cont,2,0.014,0.033,0.062,0.559,9.66360345,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVEnew,HV,MV_HV,1,heat,3,0.003,,0.095,0.456,8.776050931,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVEnew,HV,MV_HV,1,cont,4,0.004,0.074,0.047,0.494,16.2964579,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVEnew,MV,MV_MV,1,heat,3,0.01,0.053,0.208,0.424,12.86763208,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVEnew,MV,MV_MV,1,cont,4,0.011,,-0.013,0.534,14.85941555,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVK,HV,MV_HV,1,heat,3,0.005,0.053,0.252,0.405,8.18575679,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVK,HV,MV_HV,1,cont,4,0.01,,0.087,0.535,13.11827389,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVK,MV,MV_MV,1,heat,3,0.016,-0.002,0.15,0.496,7.413251869,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
